2;D;Haselnusskerne, ungeschält, Profit;Türkische Haselnusskerne, 10/11mm, natural;Haselnusskerne;Ct;Karton;25;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;CA;Haselnüsse;8.1;;;;;;;HASELNUSSKERNE;;kühl und trocken zwischen 8 - 15°C;Türkei;Souci-Fachmann-Kraut;2662;kj;644;kcal;12;g;11;g;62;g;7.61256E+12;;25;1;Hartschalenobst;Türkei;Kosher;;;;;;20200402;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:188067;0.01;g;3.49;g;4.2;g;NOCCIOLE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Haselnusskerne ungeschält;1;1
29;D;Haselnusskerne, ungeschält, gemahlen, leicht vakuumiert, Pistor;Haselnusskerne natural, gemahlen, 0-2 mm;Haselnusskerne;Sa;Sack;10;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;CA;Haselnüsse;9.54;;;;;;;HASELNUSSKERNE;;kühl und trocken zwischen 8 - 15°C;Italien;Souci-Fachmann-Kraut;2662;kj;644;kcal;12;g;11;g;62;g;7.61256E+12;;10;1;Hartschalenobst;Türkei;Halal, Kosher;;;;;;20200219;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:249056;0.01;g;4.3;g;4.2;g;NOCCIOLE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Haselnusskerne ungeschält, gemahlen;1;1
44;D;Haselnusskerne, geschält, geröstet, vakuumiert, Pistor, 13/15;Türkische Haselnusskerne 13/15, blanchiert, geröstet;Haselnusskerne;Sa;Sack;10;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;CA;Haselnüsse;12;;;;;;;HASELNUSSKERNE;;kühl und trocken zwischen 8 - 15°C;Türkei;Souci-Fachmann-Kraut;2662;kj;644;kcal;12;g;11;g;62;g;7.61256E+12;;10;1;Hartschalenobst;Türkei;Halal, Kosher;;;;;;20181023;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:188572;0.01;g;4.3;g;4.2;g;NOCCIOLE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Haselnusskerne geröstet, geschält;1;1
57;D;Mandeln Select Sheller Run, ungeschält, ganz, 25/27;Kalifornische Mandeln natural SSR 25/27 str.count;Mandeln Select Sheller Run;Ct;Karton;22.68;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;CB;Mandeln;8.26;;;;;;;MANDELN;;kühl und trocken zwischen 8 - 15°C;USA;Souci-Fachmann-Kraut;2383;kj;577;kcal;18;g;3.7;g;54.1;g;7.61256E+12;;22.68;1;Hartschalenobst;Kalifornien;;;;;;;20190305;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:193548;0.005;g;3.5;g;4;g;MANDORLE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Mandeln ungeschält;1;1
63;D;Mandeln Longuettes, gross, ungeschält, ganz, Pistor, 18/20;Sel.Larg. 18/20, natural, 24-30mm;Mandeln Longuettes;Ct;Karton;10;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;CB;Mandeln;12.09;;;;;;;MANDELN;;kühl und trocken zwischen 8 - 15°C;Spanien;Souci-Fachmann-Kraut;2383;kj;577;kcal;18.72;g;3.7;g;54.1;g;7.61256E+12;;10;1;Hartschalenobst;Spanien;;;;;;;20191202;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:244396;0.01;g;3.5;g;4;g;MANDORLE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Mandeln ungeschält;1;1
82;D;Mandeln, geschält, gehobelt, extra-fein, Pistor, 0.4-0.7 mm;"Kalifornische Mandeln ""blanched, sliced, extra thin""";Mandeln;Ct;Karton;12.5;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;CB;Mandeln;9.92;;;;;;;MANDELN;;kühl und trocken zwischen 8 - 15°C;Spanien;Souci-Fachmann-Kraut;2383;kj;577;kcal;18.7;g;3.7;g;54.1;g;7.61256E+12;;12.5;1;Hartschalenobst;Kalifornien;Halal;;;;;;20180809;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:186154;0.01;g;3.5;g;4;g;MANDORLE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Mandeln geschält, gehobelt;1;1
97;D;Mandel-Stäbchen, geschält, Pistor, 2.5 mm;Mandeln-Stäbchen Pistor;Mandel-Stäbchen;Ct;Karton;4.5;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;CB;Mandeln;13.65;;;;;;;MANDELN;;kühl und trocken zwischen 8 - 15°C;Schweiz;Angaben berechnet;2415;kj;580;kcal;19;g;4;g;54;g;7.61256E+12;;4.5;1;Hartschalenobst;Kalifornien;;;;;;;20181009;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:188087;0.05;g;2.5;g;4;g;MANDORLE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Mandeln geschält, gestäbelt;1;1
113;D;Dekorbaumnusskerne, Extraqualität, helle Kerne, Dose, 1 Dose à 1.8 kg, Kalibrierung 700-800 St./kg (speziell geeignet als Dekor auf Pralinen);Dekorbaumnusskerne hell, Extraqualität;Dekorbaumnusskerne;Ds;Dose;1.8;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;CC;Baumnusskerne;18.42;;;;;;;BAUMNUSSKERNE;;kühl und trocken zwischen 8 - 15°C;Frankreich;Angaben des Produzenten;2800;kj;674;kcal;14.5;g;10.5;g;63.8;g;7.61256E+12;;1.8;1;Hartschalenobst;Frankreich;;;;;;;20170516;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:159759;0.0034;g;3.4;g;6;g;Gherigli di noce;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Baumnusskerne;1;1
136;D;Baumnusskerne, heller Bruch «Light large pieces», vakuumiert, Originalkarton, Kalibrierung 6-8 mm, 25 lb (sehr mild im Aroma);Baumnusskerne heller Bruch «Light large pieces»;Baumnusskerne;Ct;Karton;11.34;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;CC;Baumnusskerne;8.52;;;;;;;BAUMNUSSKERNE;;kühl und trocken zwischen 8 - 15°C;USA;Souci-Fachmann-Kraut;2738;kj;663;kcal;14.4;g;10.6;g;63;g;7.61256E+12;;11.34;1;Hartschalenobst;Kalifornien, USA;;;;;;;20190813;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:201695;0.006;g;3.3;g;6.6;g;Gherigli di NOCE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Baumnusskerne hell;1;1
141;D;Frischbackhefe, 40 x 500 g;Backhefe Har.à 20kg;Frischbackhefe;Ki;Kiste;20;kg;Kilogramm;1;Kg;Kilogramm;0;;PREIS PRO EINHEIT;0;BM;Frischbackhefe;2.6;;;;;;;Backhefe;;gekühlt bei max. 5°C;Schweiz;;319;kj;76;kcal;14;g;0.5;g;2;g;7.61093E+12;;20;1;;Schweiz;Kosher;;;;;;;https://portal.pistor.ch/apex/l_portal.p01000_util.get_pdf_report?p_params=report:r02500_spezifikation_neu_d.rdf$p_spezifikation_id:197310;0.1;g;0.1;g;0.2;g;Lievito di birra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Backhefe;1;1
